,0
7-12_split_0,86
7-12_split_2,34
7-14_split_0,56
7-14_split_3,70
7-16_split_2,67
7-16_split_4,16
7-18_split_1,24
7-18_split_4,80
7-19_split_1,26
7-19_split_2,65
7-20_split_0,78
7-20_split_3,26
7-21_split_3,45
7-21_split_4,39
7-23_split_0,25
7-23_split_1,88
7-24_split_0,132
7-24_split_4,26
7-27_split_1,69
7-27_split_3,25
7-27_split_4,32
7-31_split_2,16
7-31_split_4,116
7-32_split_3,26
7-33_split_2,14
7-33_split_4,66
7-37_split_0,4
7-38_split_0,33
7-38_split_1,29
7-40_split_1,56
7-42_split_0,58
7-42_split_2,38
7-43_split_3,5
7-43_split_4,79
7-45_split_0,24
7-45_split_3,39
7-46_split_1,39
7-50_split_2,25
7-50_split_3,101
7-52_split_1,107
7-53_split_3,13
7-54_split_3,65
7-55_split_2,108
7-55_split_4,27
7-57_split_3,55
7-58_split_2,26
7-58_split_3,2
7-59_split_0,34
7-60_split_1,103
7-61_split_0,133
7-61_split_2,29
7-62_split_1,63
7-64_split_1,32
7-67_split_0,44
7-67_split_1,39
7-68_split_1,92
7-68_split_2,35
7-70_split_0,129
7-71_split_0,27
7-71_split_4,97
7-73_split_2,97
7-73_split_4,64
7-75_split_4,96
7-77_split_1,81
7-77_split_4,33
7-78_split_1,52
7-78_split_3,74
7-79_split_3,92
7-84_split_2,102
7-85_split_0,68
7-85_split_1,28
7-86_split_1,115
7-86_split_4,11
7-89_split_3,76
7-92_split_2,57
7-93_split_3,45
7-94_split_4,148
7-97_split_0,76
7-97_split_1,83
7-99_split_0,99
7-99_split_1,58
7-101_split_2,26
7-101_split_4,90
7-102_split_0,15
7-102_split_2,33
7-104_split_2,110
7-105_split_3,101
7-105_split_4,41
7-106_split_2,47
7-107_split_0,63
7-107_split_4,34
7-108_split_2,28
7-108_split_3,70
7-110_split_0,30
7-110_split_4,27
7-111_split_2,15
7-111_split_4,26
7-112_split_3,18
7-112_split_4,66
7-113_split_1,105
7-113_split_4,46
7-114_split_2,94
7-114_split_4,28
7-116_split_0,154
7-117_split_3,25
7-117_split_4,60
7-118_split_0,90
7-119_split_0,123
7-119_split_3,14
7-120_split_4,54
7-121_split_0,58
7-123_split_1,88
7-123_split_4,29
7-125_split_0,126
7-126_split_2,38
7-126_split_3,54
7-127_split_3,31
7-127_split_4,4
7-128_split_0,79
7-128_split_2,24
7-129_split_2,79
7-129_split_3,7
7-130_split_4,13
7-131_split_1,30
7-131_split_3,26
7-132_split_0,28
7-132_split_4,16
7-133_split_4,74
7-135_split_1,52
7-135_split_3,61
7-136_split_2,47
7-137_split_2,72
7-137_split_4,62
7-138_split_2,132
7-139_split_4,120
7-141_split_3,37
7-143_split_0,23
7-143_split_1,25
7-146_split_4,31
7-147_split_1,48
7-147_split_4,11
7-148_split_3,27
7-148_split_4,91
7-150_split_3,42
7-152_split_1,7
7-152_split_3,36
7-154_split_2,9
7-154_split_3,144
7-155_split_1,132
7-156_split_3,27
7-156_split_4,43
7-157_split_1,23
7-157_split_2,48
7-158_split_3,85
7-160_split_1,127
7-161_split_2,15
7-161_split_4,114
7-162_split_3,50
7-162_split_4,50
7-163_split_0,151
7-164_split_1,4
7-164_split_4,78
7-165_split_1,21
7-165_split_3,82
7-166_split_3,25
7-166_split_4,62
7-167_split_0,39
7-167_split_4,92
7-168_split_1,3
7-169_split_0,25
7-169_split_4,49
7-172_split_2,70
7-173_split_1,40
7-174_split_0,84
7-174_split_4,32
7-175_split_2,86
7-176_split_4,93
7-177_split_3,18
7-178_split_3,56
7-181_split_3,74
7-182_split_3,69
7-183_split_1,5
7-183_split_2,26
7-184_split_1,44
7-184_split_4,3
7-186_split_2,114
7-187_split_0,26
